agent,jour,poste,value
4,29,5,0
4,29,6,0
4,30,1,0
4,30,2,0
4,30,3,0
4,30,4,0
4,30,5,0
4,30,6,1
4,31,1,0
4,31,2,0
4,31,3,0
4,31,4,0
4,31,5,0
4,31,6,1
4,32,1,0
4,32,2,0
4,32,3,0
4,32,4,0
4,32,5,1
4,32,6,0
4,33,1,0
4,33,2,0
4,33,3,0
4,33,4,0
4,33,5,1
4,33,6,0
4,34,1,1
4,34,2,0
4,34,3,0
4,34,4,0
4,34,5,0
4,34,6,0
4,35,1,0
4,35,2,0
4,35,3,0
4,35,4,0
4,35,5,1
4,35,6,0
4,36,1,0
4,36,2,0
4,36,3,0
4,36,4,0
4,36,5,0
4,36,6,1
4,37,1,0
4,37,2,0
4,37,3,0
4,37,4,0
4,37,5,0
4,37,6,1
4,38,1,0
4,38,2,0
4,38,3,1
4,38,4,0
4,38,5,0
4,38,6,0
4,39,1,0
4,39,2,0
4,39,3,1
4,39,4,0
4,39,5,0
